Fecha,Temperatura,Precipitacion
2024-10-10,23.505,0
2024-10-11,23.094,0
2024-10-12,22.472,0
2024-10-13,22.165,0
2024-10-14,22.819,0
2024-10-15,24.131,4.252
2024-10-16,23.804,0
2024-10-17,21.078,21.076
2024-10-18,23.429,0
2024-10-19,22.558,0
2024-10-20,21.725,21.076
2024-10-21,23.193,0
2024-10-22,23.404,0
2024-10-23,22.487,0
2024-10-24,23.163,0
2024-10-25,23.342,0
2024-10-26,23.103,0
2024-10-27,22.728,0
2024-10-28,23.06,0
2024-10-29,23.429,0
2024-10-30,23.655,0
2024-10-31,22.654,0
2024-11-01,21.651,0
2024-11-02,22.367,7.905
2024-11-03,23.14,3.953
2024-11-04,23.705,3.953
2024-11-05,24.246,3.953
2024-11-06,24.822,2.747
2024-11-07,25.568,0
2024-11-08,24.299,0
2024-11-09,24.365,0
2024-11-10,24.111,0
2024-11-11,23.264,0
2024-11-12,22.776,5.139
2024-11-13,23.004,0
2024-11-14,22.768,0
2024-11-15,22.57,0
2024-11-16,19.724,0
2024-11-17,18.456,0
2024-11-18,20.389,0
2024-11-19,22.899,18.974
2024-11-20,22.881,0
2024-11-21,20.863,0
2024-11-22,19.79,0
2024-11-23,19.603,2.491
2024-11-24,21.194,0
2024-11-25,22.498,0
2024-11-26,21.437,0
2024-11-27,23.083,0
2024-11-28,24.372,0
2024-11-29,23.25,0
2024-11-30,21.844,0
2024-12-01,21.923,
2024-12-02,19.023,
2024-12-03,20.359,
2024-12-04,20.297,
2024-12-05,21.124,
2024-12-06,21.044,
2024-12-07,20.72,
2024-12-08,21.459,
2024-12-09,23.097,
2024-12-10,24.961,
2024-12-11,24.208,
2024-12-12,21.516,
2024-12-13,21.291,
2024-12-14,21.605,
2024-12-15,20.581,
2024-12-16,22.052,
2024-12-17,21.188,
2024-12-18,23.075,
2024-12-19,21.768,
2024-12-20,20.744,
2024-12-21,21.452,
2024-12-22,22.791,
2024-12-23,22.698,
2024-12-24,23.356,
2024-12-25,22.188,
2024-12-26,23.372,
2024-12-27,25.172,
2024-12-28,23.168,
2024-12-29,21.653,
2024-12-30,22.816,
2024-12-31,24.988,
